,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
0,Blue,Loss,True,False,False,False,False,False,3,0,0,1,0
5,Red,Win,False,True,True,True,True,False,11,3,2,4,0
10,Blue,Win,True,True,True,False,True,True,7,2,0,3,2
15,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
20,Blue,Win,True,True,True,False,False,True,8,1,0,1,2
25,Red,Loss,False,False,False,False,True,False,1,0,0,2,0
30,Blue,Win,True,True,True,True,True,False,7,1,1,2,1
35,Red,Loss,False,False,False,False,False,True,3,0,0,2,1
40,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
45,Red,Win,True,True,False,False,True,False,3,0,0,2,0
50,Blue,Win,False,True,False,False,False,True,5,0,0,1,2
55,Red,Loss,True,False,False,False,True,False,1,0,0,2,0
60,Blue,Win,True,False,True,False,True,False,8,2,0,2,0
65,Red,Loss,False,True,False,False,False,True,1,0,0,0,1
70,Blue,Win,True,False,True,True,True,True,9,3,1,4,1
75,Red,Loss,False,True,False,False,False,False,1,0,0,1,0
80,Blue,Loss,False,True,False,False,True,True,4,0,0,3,1
85,Red,Win,True,False,True,False,False,False,7,1,0,2,0
90,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
95,Red,Win,False,True,False,False,False,False,2,0,0,1,0
100,Blue,Loss,True,True,False,False,True,False,3,0,0,1,0
105,Red,Win,False,False,True,True,False,True,7,1,1,4,1
110,Blue,Loss,False,False,False,False,True,False,3,0,0,1,0
115,Red,Win,True,True,True,True,False,True,7,2,1,3,1
120,Blue,Loss,True,True,False,False,True,True,3,0,0,3,2
125,Red,Win,False,False,True,True,False,False,8,1,1,1,0
130,Blue,Loss,False,False,False,False,False,False,3,0,0,1,0
135,Red,Win,True,True,True,True,True,True,10,2,1,3,1
140,Blue,Loss,False,True,False,False,False,True,2,0,0,0,1
145,Red,Win,True,False,False,True,True,False,5,0,1,4,1
150,Blue,Win,False,False,True,True,True,True,7,1,1,4,1
155,Red,Loss,True,True,False,False,False,False,4,0,0,0,1
160,Blue,Win,True,False,True,True,False,False,11,4,2,3,0
165,Red,Loss,False,True,False,False,True,True,5,0,0,2,2
170,Blue,Loss,True,False,False,False,False,False,0,0,0,0,0
175,Red,Win,False,False,False,False,False,False,0,0,0,0,0
180,Blue,Loss,False,True,False,False,True,True,1,0,0,1,1
185,Red,Win,True,False,True,True,False,False,5,1,1,2,1
190,Blue,Win,True,False,True,False,True,True,6,1,0,4,1
195,Red,Loss,False,True,False,True,False,False,4,0,1,0,1
200,Blue,Win,True,True,True,False,True,True,6,1,0,1,1
205,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
210,Blue,Win,False,True,False,False,True,False,5,0,0,2,1
215,Red,Loss,True,False,False,False,False,True,0,0,0,1,1
220,Blue,Loss,True,False,False,False,False,False,0,0,0,1,0
225,Red,Win,False,True,True,False,True,True,10,1,0,1,1
230,Blue,Win,True,True,True,True,False,False,9,1,1,1,1
235,Red,Loss,False,False,False,False,True,True,4,0,0,3,1
240,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
245,Red,Win,True,True,True,True,True,True,7,1,1,3,2
250,Blue,Win,True,True,False,False,True,True,7,0,0,2,2
255,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
